# Source: US Social Security Administration, national baby name data, male births 1975-2025 (public domain).
# https://www.ssa.gov/oact/babynames/limits.html
# Columns b1975..b2025 are births in each five-year bucket starting that year, divided by 10 and rounded.
# Written by tools/fetch-data.mjs. Do not edit by hand.
name,b1975,b1980,b1985,b1990,b1995,b2000,b2005,b2010,b2015,b2020,b2025
Isaiah,117,247,424,780,2879,4375,4904,4089,3543,2770,527
Angel,603,693,887,1466,2234,4015,5418,3602,2694,2423,476
Luis,1246,1661,2084,3063,3413,3761,3672,2211,1697,1396,248
Ian,1067,1687,2090,2699,2702,3130,3062,2777,2470,2219,392
Adrian,1100,1258,1556,1935,2263,2870,3742,3527,3072,2482,446
Connor,18,56,276,2122,3617,4374,4225,3679,3148,1686,221
Carlos,1927,2041,2109,2657,2862,3223,3097,1989,1541,1276,242
Gregory,4896,4784,4582,3338,1872,1167,840,608,440,302,49
Julian,353,448,845,1293,1474,2584,3455,3781,4172,3704,760
Nathaniel,1263,1839,2026,2329,2929,3360,3067,2374,1815,1352,257
Alex,742,1070,2801,3585,3498,3377,3001,1910,1350,964,152
Oliver,186,208,207,318,339,599,1495,3273,6543,7435,1494
Owen,154,186,219,234,732,2235,3953,4314,4796,4164,719
Jeremiah,1584,1694,1139,1003,1361,2282,3285,3676,3006,2025,384
Sebastian,65,100,184,573,887,2432,2955,3653,5016,4485,861
Edward,3462,3162,2921,2586,1930,1638,1446,1348,1179,878,159
Wyatt,92,108,173,396,1398,1892,3243,4076,4699,3633,648
Levi,276,555,710,944,1097,1174,1774,3546,4254,4748,964
Carter,58,55,113,231,742,1865,3368,4633,4893,3331,602
Bradley,3132,3439,3497,2707,2101,1309,1053,1112,904,508,79
Dustin,1844,4740,4992,3541,2136,1035,619,384,270,207,37
Jared,1774,2887,3144,3067,3313,2572,1230,629,449,431,80
Jesus,1045,1311,1429,2315,2598,3111,3021,1960,1419,1116,208
Shawn,4785,3402,3157,2535,1714,1313,1107,640,428,265,40
Antonio,1840,1946,2216,2230,2425,2392,2233,1589,1245,1056,206
Derek,1780,3467,3825,3211,1864,1431,1272,1031,767,591,119
Marcus,1954,2539,2642,2524,2126,1791,1776,1382,1032,754,134
Gavin,156,252,286,484,1244,3427,5418,4095,2139,950,113
Peter,2892,2886,2786,2354,1885,1457,1157,942,931,897,195
Landon,137,260,337,499,752,1582,4532,4660,3272,2040,284
George,2757,2421,2151,1947,1578,1479,1322,1259,1582,1381,285
Chase,70,522,1133,1565,2466,2567,3150,2928,2107,1319,190
Blake,313,1028,1512,2216,2372,2583,2428,2696,1476,794,108
Vincent,1232,1420,1785,2069,1602,1646,1881,1869,1815,1539,327
Dominic,447,539,691,1134,1430,2183,2628,2953,2565,1809,328
Joel,1930,2242,2115,1835,1545,1622,1746,1430,1152,880,163
Chad,5570,4092,2814,1717,995,515,337,204,124,64,10
Victor,1294,1481,1747,2134,1974,2063,2005,1437,1178,888,166
Miguel,896,1200,1356,2020,2081,2299,2311,1521,1173,987,166
Corey,2403,2083,3277,3172,1851,1052,695,461,338,233,33
Xavier,155,211,493,1068,1361,2235,3014,2639,2235,1805,323
Wesley,1452,1482,1627,1603,1222,1053,1056,1354,1763,2231,558
Colton,15,45,354,1264,1784,1561,1864,3018,2829,2082,342
Cole,77,365,507,1136,2251,2925,2760,1939,1701,1282,200
Seth,1160,1486,1627,1948,2273,2912,1904,939,528,304,51
Trevor,706,980,1689,2924,3071,2449,1557,922,483,293,40
Devin,369,695,1475,2465,3043,2845,2099,1090,552,364,55
Shane,2413,1835,2482,2375,1685,1471,1142,770,482,275,44
Josiah,74,178,262,401,691,1232,2094,2882,3431,2909,551
Theodore,604,574,622,540,471,481,574,1051,3002,5222,1336
Eli,213,262,284,386,471,965,1840,3734,3257,2275,342
Brayden,4,6,25,98,432,1444,3595,4071,2531,1294,155
Keith,3252,2777,2488,1828,1009,691,560,405,303,202,31
Alejandro,553,695,837,1561,1957,2219,2093,1460,1043,943,184
Raymond,2159,2123,2028,1799,1373,1105,941,734,606,479,81
Donald,3379,2828,2256,1674,1002,693,508,373,298,214,40
Ronald,3100,2571,2096,1624,1044,778,587,414,322,249,44
Alan,1101,1342,1341,1279,1130,1384,1580,1225,1195,1026,192
Grayson,22,35,74,142,331,495,922,2415,4225,3494,581
Parker,40,87,193,513,1110,1563,2010,2679,2244,1894,348
Carson,69,92,142,320,677,2002,2461,2379,2424,1749,288
Mateo,17,17,20,33,168,390,659,1400,3661,5123,1105
Nolan,114,211,256,532,647,1106,1532,2224,2781,2551,485
Garrett,386,749,1299,2155,2377,2293,1330,883,556,346,53
Diego,70,126,264,477,869,2049,3555,1797,1541,1406,235
Tristan,64,310,449,316,2076,1795,2535,2202,1668,823,110
Erik,1630,1953,1682,1890,1471,1267,974,597,454,345,55
Cooper,14,35,67,177,451,1055,2189,2538,2389,2606,747
Colin,441,728,1039,1342,1484,1974,1939,1570,902,568,95
Jorge,843,991,1183,1596,1677,1732,1570,998,773,610,107
Aidan,11,15,31,142,736,3477,4174,1621,923,591,104
Elias,172,193,255,365,520,797,1165,1633,2459,3377,884
Phillip,2039,2240,2331,1736,1061,782,565,420,343,253,43
Leo,244,235,219,234,240,454,774,1456,3014,3931,817
Bryce,250,350,678,969,1706,2069,1919,1649,1256,678,92
Micah,489,549,554,588,787,1109,1593,1847,1827,1883,382
Oscar,636,714,852,1305,1483,1626,1729,1180,1046,873,162
Jaxon,2,4,5,21,97,438,1136,3019,3901,2435,307
Jake,215,335,793,1459,1852,2060,1924,1385,757,433,68
Hudson,6,13,17,39,110,285,938,2043,3103,3837,858
Hayden,26,36,65,581,1054,2057,2948,1821,1170,1124,227
Asher,21,37,42,60,110,276,837,1790,3066,4054,746
Ivan,372,505,625,965,1086,1478,1594,1506,1486,1184,224
Brett,1299,1900,2229,1935,1607,939,527,241,154,105,13
Cory,1744,1705,2730,2285,1132,562,328,191,145,102,16
Ricardo,919,1137,1172,1460,1471,1402,1317,798,595,458,83
Miles,119,176,391,501,480,720,1059,1660,2000,2983,607
Taylor,153,481,1461,3710,2130,1057,710,427,288,225,40
Grant,399,652,801,978,1568,1491,1351,1261,1116,823,156
Francisco,798,917,1091,1464,1409,1394,1258,841,688,568,107
Frank,1971,1767,1592,1381,1016,790,658,511,437,340,58
Douglas,2618,2280,1894,1395,802,498,368,244,204,162,31
Max,210,261,613,901,921,1202,1535,1852,1562,1162,203
Spencer,378,435,1083,1838,1981,1680,1066,766,617,483,91
Damian,446,276,296,532,737,1101,1502,1810,1719,1664,321
Mario,1114,1303,1337,1296,1161,1144,1100,755,564,444,72
Maxwell,59,111,470,872,1219,1560,1445,1669,1576,1109,192
Gary,2730,2284,1739,1210,709,506,382,251,201,117,20
Derrick,1673,1896,1739,1465,934,719,634,508,348,200,29
Casey,1277,1690,1907,1804,1121,730,496,300,259,440,107
Ezra,76,83,93,99,186,310,523,1148,2717,3960,813
Martin,1055,1086,1237,1432,1101,988,889,678,657,564,101
Lincoln,64,59,57,82,88,171,710,1580,3621,2883,470
Omar,593,681,687,1129,1244,1346,1470,966,828,680,133
Tanner,71,176,394,1499,2240,1814,1355,1037,681,410,64
Mitchell,627,959,1495,2198,2004,1126,564,317,209,150,25
Manuel,914,964,1035,1237,1180,1172,1172,758,629,509,86
Santiago,113,131,132,184,244,442,1019,1559,2086,2959,755
Eduardo,477,497,648,1331,1391,1586,1555,961,614,475,78
Nicolas,276,454,573,880,1242,1436,1391,1097,1025,979,205
Riley,66,102,242,571,1313,1922,2040,1501,814,763,167
Troy,1709,1269,1184,1262,1020,696,780,686,498,333,56
Calvin,639,713,866,842,845,802,809,974,1335,1271,271
Preston,289,404,620,763,946,1316,1717,1449,1056,675,113
Philip,1581,1779,1794,1249,797,583,437,368,354,315,57
Dakota,14,22,224,1785,2880,1810,1008,493,473,490,107
Javier,558,672,777,1070,1142,1260,1203,906,814,721,125
Roman,151,171,224,313,365,538,935,1340,2170,2411,616
Johnathan,468,898,1293,1459,1267,1141,1051,702,479,326,59
Leonardo,131,151,169,303,425,792,1157,1430,2093,2057,379
Jace,33,56,110,167,287,580,1052,2384,2363,1736,308
Andre,1010,1074,1087,1163,946,891,889,710,657,557,87
Ayden,0,0,0,4,40,560,2070,2922,2041,1146,134
Brady,218,288,448,649,974,1293,2137,1357,816,573,107
Dennis,2099,1683,1363,1073,738,573,472,328,270,203,38
Giovanni,81,122,214,434,659,970,1452,1609,1433,1494,294
Larry,2389,1842,1286,947,647,495,419,331,203,123,20
Ashton,19,54,162,329,467,1442,1803,1504,1519,1219,180
Emmanuel,132,342,635,681,737,1017,1337,1255,1269,1083,204
Kaleb,33,72,182,543,947,1635,1841,1541,1063,688,114
Andres,279,431,573,881,1084,1212,1266,971,867,894,174
Craig,2290,2039,1770,1072,539,331,223,142,105,60,10
Johnny,1365,1232,1118,1074,775,713,719,631,495,372,68
Clayton,582,788,906,1019,1163,1113,754,683,711,576,113
Brendan,413,607,853,1152,1700,1573,1011,592,299,142,20
Jonah,110,159,130,234,774,1086,1284,1442,1363,1411,283
Bryson,32,82,137,202,390,761,1146,1862,2003,1396,242
Harrison,50,92,305,529,849,908,813,1116,1739,1533,307
Fernando,515,644,676,914,1029,1276,1239,797,589,474,82
Jaden,5,8,15,58,373,2086,2542,1642,832,507,77
Brody,34,41,82,162,339,593,2076,2316,1409,940,149
Randy,1674,1580,1372,999,680,512,524,361,203,123,20
Ezekiel,53,68,85,137,238,416,696,1008,2030,2802,509
Jerry,1900,1440,1135,930,728,573,492,339,253,172,26
Easton,2,6,14,38,103,224,496,2005,2675,2044,320
Curtis,1341,1528,1463,1168,753,525,441,301,231,149,23
Todd,3035,1812,1221,752,409,253,159,113,87,58,11
Hector,631,709,802,1005,944,983,1105,677,537,438,78
Collin,124,220,394,887,1489,1471,1312,1030,532,326,61
Dalton,30,47,110,1447,2152,1694,924,606,448,309,70
Abraham,317,405,464,584,719,919,1066,1042,1180,909,166
Luca,9,11,14,24,48,230,493,844,1650,3538,876
Edwin,622,651,739,922,826,1046,1162,696,526,445,80
Roberto,804,910,872,1028,979,966,835,540,391,297,52
Arthur,963,886,793,683,495,423,412,468,795,1367,385
Russell,1547,1478,1187,854,520,424,356,349,392,434,94
Edgar,359,438,723,1134,1088,1135,1124,682,480,372,62
Brent,1683,1645,1483,1019,643,381,250,153,101,66,12
Kayden,0,0,1,11,44,264,1062,2011,2025,1675,268
Tony,1474,1278,1172,971,643,514,471,343,261,180,33
Allen,958,1086,1105,989,706,675,584,472,411,280,51
Jeffery,1793,1615,1342,931,536,367,282,201,143,88,11
Weston,74,138,203,312,299,329,470,1107,1774,2037,548
Sergio,409,583,732,990,1023,1001,944,619,490,408,71
Cesar,358,425,492,825,960,1190,1171,751,558,443,82
Caden,1,3,6,55,230,1367,2307,1343,894,825,174
Louis,905,876,860,816,628,553,473,520,662,719,139
Axel,12,14,30,67,86,466,595,1273,1908,2234,414
Erick,367,442,458,743,825,1018,1125,773,694,536,88
Maverick,4,6,18,47,88,111,220,519,2078,3342,589
Cristian,31,70,125,660,1293,1340,1379,863,600,514,91
Kaden,1,3,11,56,247,1243,2221,1496,947,633,103
Kai,34,43,53,84,180,499,763,987,1611,2316,377
Devon,189,288,638,1307,1536,1295,869,380,215,149,22
Rafael,502,599,629,733,704,734,770,625,654,757,164
Jaxson,0,0,0,5,36,181,574,1826,2414,1581,237
Drew,245,579,980,925,1009,833,838,613,355,279,54
Walter,1076,937,820,708,494,415,398,432,629,634,138
Ruben,688,730,756,876,818,828,710,482,391,320,63
Carl,1360,1370,1177,889,580,418,302,224,198,120,19
Ryder,8,7,13,36,77,176,887,1840,1767,1569,271
Danny,1214,1043,959,809,573,536,519,411,300,238,45
Terry,1721,1336,1080,787,517,366,298,233,172,106,19
Marco,420,475,507,777,924,1013,899,622,491,413,86
Sawyer,1,2,26,135,210,261,754,1390,2013,1497,294
Alexis,126,265,239,465,1161,1476,1327,703,411,320,58
Everett,160,160,152,151,151,185,366,895,1846,2019,429
Silas,53,59,59,73,118,246,485,1260,1703,1983,464
Braxton,15,26,61,152,356,503,888,1430,1603,1208,213
Malachi,25,29,45,96,256,793,1285,1184,1275,1194,269
Bennett,40,63,94,116,186,284,429,924,1567,2118,627
Dillon,34,100,350,1819,1447,1021,750,439,278,177,25
Beau,226,417,301,313,248,267,346,562,1215,1992,517
Jimmy,1189,1055,897,798,613,573,474,314,224,159,29
Lorenzo,264,324,383,431,485,484,525,625,1062,1395,307
Pedro,501,573,645,812,801,803,759,509,415,378,68
Damien,487,482,334,430,477,820,1032,857,669,557,94
Jameson,39,100,157,118,117,173,378,955,1900,1932,261
Marc,1277,1059,993,769,663,562,320,208,152,96,16
Lawrence,1143,1040,924,795,521,408,354,300,289,264,58
Albert,954,963,887,785,609,499,412,354,334,246,46
Gage,11,10,40,451,870,1355,1387,1145,549,222,24
Dean,440,384,422,422,390,358,445,702,1048,1162,288
Greyson,3,5,18,34,90,137,335,1110,2210,1832,244
Israel,300,307,324,441,576,702,913,770,807,735,108
Mathew,607,851,1012,933,747,595,466,335,256,144,24
Myles,53,73,180,321,389,522,587,779,1002,1646,351
Camden,6,13,38,75,167,540,873,1491,1481,1042,172
Avery,109,113,175,331,615,728,858,984,1059,808,116
Bentley,9,11,15,13,17,37,123,2544,1852,1101,165
Shaun,1474,1518,929,526,337,339,362,202,120,67,8
Ricky,1011,1063,952,785,557,427,390,287,206,155,25
Andy,480,444,402,545,684,867,915,649,473,332,52
Declan,3,5,10,23,91,270,457,1264,1846,1617,257
Jonathon,425,846,1111,1226,917,598,359,181,102,64,12
Jay,1067,853,731,610,459,421,395,379,413,423,81
Lance,899,954,991,716,494,607,448,269,209,153,28
Kristopher,1006,1012,994,821,557,427,348,258,182,113,17
Josue,97,174,277,488,586,790,1042,797,731,575,103
Bobby,1294,1246,956,693,446,316,255,181,147,106,20
Billy,1491,1250,815,656,439,310,258,178,132,105,20
Conner,3,11,58,423,841,1132,1361,986,534,237,28
Jamie,1875,1083,758,583,326,220,195,147,152,217,51
Trenton,159,205,383,588,882,1050,1040,733,359,173,21
Abel,192,227,246,306,342,382,455,940,1416,915,153
Rodney,1412,956,831,724,488,354,292,210,152,111,20
Amir,44,79,106,138,224,366,521,762,1287,1683,330
Raul,532,608,605,736,725,715,627,393,300,244,44
Jaime,668,662,623,713,644,632,573,362,295,239,42
Graham,139,241,255,304,296,315,448,818,1107,1221,297
Tucker,36,56,99,272,431,523,716,1030,1096,968,201
Donovan,162,152,303,534,690,961,972,679,550,351,61
Micheal,1103,983,891,747,540,413,315,187,113,81,13
Waylon,110,127,68,61,59,96,238,513,1248,2296,541
Joe,1054,893,758,678,513,453,368,259,196,144,23
Chance,103,169,304,459,864,740,694,764,670,484,71
Roger,1156,1007,793,639,426,339,297,239,208,179,30
Emmett,60,54,53,75,89,137,270,991,1625,1648,295
Kaiden,0,0,0,6,35,262,889,1382,1427,1109,148
Brooks,68,167,116,117,121,132,221,511,1114,2196,488
Armando,468,513,529,653,715,698,608,420,320,267,54
Darren,818,759,811,701,551,479,413,321,229,140,19
Simon,194,248,291,328,424,666,677,742,746,712,153
Colby,156,241,443,719,708,1268,650,461,259,229,46
Zane,75,108,183,310,505,730,754,811,914,653,105
Jon,1183,992,778,609,428,353,271,194,164,135,25
Jude,53,45,42,46,65,235,701,1237,1276,1183,238
Dawson,10,13,22,50,525,986,701,534,947,1084,249
Alec,46,86,214,980,1611,924,449,318,290,177,23
Charlie,310,282,264,243,248,320,517,775,874,1019,246
Peyton,18,19,40,103,518,1013,1484,1071,513,276,40
Elliot,109,196,251,291,235,289,456,714,1122,1171,242
Rowan,5,7,11,20,51,142,408,590,1312,1955,521
Darius,175,256,461,1024,942,696,548,376,279,202,32
Griffin,28,32,102,186,608,728,728,791,813,797,163
Julio,381,423,510,738,646,628,650,390,295,250,44
Gael,0,0,1,4,5,149,542,824,1210,1779,386
Malik,72,64,79,290,1505,849,628,488,434,403,72
Lee,980,1071,908,578,323,227,189,177,178,182,37
Leon,459,423,340,284,234,236,271,433,744,1153,258
Elliott,124,220,256,288,207,226,391,642,1117,1126,229
Gerardo,333,336,388,619,731,748,611,405,304,247,40
Maddox,0,0,0,0,6,124,830,1164,1404,1018,166
Dallas,208,281,284,464,580,410,455,548,651,675,148
Randall,1001,1005,927,657,376,234,174,125,100,77,12
Zion,4,4,4,12,148,459,705,753,1026,1320,250
Felix,265,261,270,311,318,342,416,558,775,959,206
Dante,174,200,237,354,647,649,598,622,534,541,110
Willie,1076,946,743,591,381,284,232,181,132,83,15
Marcos,256,322,370,532,647,690,670,445,358,313,58
Damon,1052,342,291,462,502,512,357,363,350,360,60
Kingston,3,2,4,6,13,20,433,977,1589,1414,173
Bruce,859,777,656,470,320,269,284,321,343,276,56
Maurice,734,812,746,600,409,368,350,270,194,126,22
Angelo,276,298,318,373,426,550,630,557,536,546,112
Roy,945,796,635,511,349,289,269,240,262,260,57
Enrique,321,378,385,528,650,693,600,406,323,275,52
Tyson,369,444,443,222,292,474,665,681,511,408,57
Emilio,100,113,156,295,379,439,582,576,701,967,240
Braden,51,85,149,269,570,1092,1315,605,274,113,18
Jasper,67,83,103,120,135,207,305,702,1120,1414,280
Jayce,5,6,39,36,75,193,360,1001,1431,1168,220
Frederick,832,710,596,510,374,301,262,261,291,323,73
Alberto,371,477,532,682,625,592,494,307,234,182,30
Gerald,1034,829,721,596,384,293,222,168,135,104,17
Dominick,153,168,230,384,514,724,804,640,455,292,45
Lukas,37,73,117,220,311,447,714,759,837,763,116
August,52,52,64,83,133,149,237,490,1093,1637,396
Marvin,618,580,570,564,418,410,413,292,250,220,39
Walker,29,36,48,115,257,318,324,392,614,1703,420
Emiliano,26,23,23,32,64,260,514,651,958,1286,370
Marshall,343,409,388,437,390,384,355,463,487,421,98
Skyler,19,102,250,537,693,745,660,582,351,199,33
Eddie,692,634,567,551,415,360,351,241,180,149,28
Cayden,0,0,0,13,56,365,1074,1197,779,562,77
Ryker,0,0,5,22,41,76,273,914,1474,1115,200
Trent,299,285,407,523,626,730,576,371,187,94,14
Ty,176,189,174,337,592,826,887,467,254,179,31
Wayne,982,832,644,468,283,204,168,150,156,171,42
Jaylen,0,0,0,70,300,814,1055,727,488,545,91
Jalen,1,1,1,372,740,1396,649,304,244,305,71
Ramon,523,544,509,554,494,428,386,243,191,156,29
Brock,314,261,371,431,480,623,621,446,288,175,31
Reginald,762,687,663,586,386,288,239,176,131,100,15
Xander,0,0,0,5,31,350,641,834,1097,936,134
Lane,71,80,110,190,513,509,515,593,624,674,138
Fabian,153,187,257,383,425,571,626,555,424,344,66
Corbin,35,30,127,275,347,537,628,833,724,386,59
River,1,1,7,29,173,177,268,407,979,1610,314
Arturo,336,382,396,518,508,513,475,294,248,236,45
Clinton,872,1020,733,606,187,130,128,110,81,57,9
Trey,56,100,239,546,716,772,617,404,237,191,27
Tommy,688,563,484,442,462,396,275,188,172,178,42
Kyler,7,20,67,209,437,535,627,649,631,628,79
Kameron,21,28,99,267,440,596,628,634,664,441,66
Terrance,624,633,624,590,365,286,279,208,152,92,11
Keegan,27,62,110,243,416,609,797,729,543,264,45
Pablo,216,250,263,367,433,513,536,402,384,400,74
Emanuel,130,211,276,314,355,497,657,568,410,321,51
Alfredo,351,381,403,506,505,479,416,272,227,175,30
Bryant,274,317,650,560,437,476,374,274,199,134,15
Ismael,174,203,223,305,368,425,466,394,417,587,131
Warren,412,405,366,327,269,236,260,292,447,530,147
Ross,410,683,888,612,434,222,134,102,82,69,12
Milo,29,27,25,28,37,95,235,468,914,1477,297
Franklin,422,409,414,397,316,262,287,274,358,393,91
Desmond,184,200,340,420,366,302,330,466,480,438,84
Darrell,798,688,628,469,287,217,194,148,106,64,10
Neil,713,637,546,423,276,201,181,188,211,160,29
Malcolm,162,134,319,616,391,286,228,294,417,584,126
Drake,14,32,86,270,474,608,745,719,330,228,30
Thiago,0,0,4,6,5,17,45,197,832,1831,584
Jermaine,671,823,457,342,265,278,271,188,133,78,12
Julius,203,265,249,238,214,311,508,483,511,459,76
Judah,22,24,27,35,63,145,347,655,936,1053,205
Francis,456,474,467,403,305,249,204,231,314,329,77
Tyrone,778,589,571,468,325,240,199,144,97,72,13
Chris,765,381,270,235,280,339,428,311,247,196,43
Finn,2,3,3,7,34,131,360,644,1116,1010,170
Ronnie,777,635,522,422,283,221,201,164,130,104,20
Gustavo,160,210,276,442,456,588,514,321,245,216,45
Maximus,0,0,0,0,3,331,531,905,963,608,125
Enzo,6,4,7,10,26,80,177,356,700,1641,456
Chandler,31,43,99,278,1019,774,349,314,303,213,34
Jessie,445,594,563,555,375,298,262,169,107,78,13
Cade,28,35,51,97,361,806,561,432,399,544,139
Jerome,694,647,572,436,287,223,203,153,129,91,16
Rylan,10,16,26,40,92,267,758,1063,644,457,77
Quinn,82,95,131,247,411,490,620,511,452,345,66
Wade,456,331,366,331,268,224,225,234,416,490,95
Reid,83,129,156,216,267,277,376,628,638,538,115
Rhett,81,72,76,84,134,133,169,305,1002,1172,194
Melvin,584,505,439,401,298,324,306,203,168,151,24
Morgan,185,342,378,472,538,409,376,219,182,247,53
Quentin,250,288,345,334,478,416,423,339,276,215,24
Leonard,662,582,465,379,248,207,185,179,215,201,44
Adriel,14,22,26,40,46,88,188,297,813,1423,392
Jaiden,0,0,0,5,48,377,1003,945,575,332,45
Nickolas,176,315,409,523,550,493,408,220,134,74,12
Brad,1201,872,486,253,185,121,96,50,29,16,2
Ali,113,125,160,223,291,381,393,444,543,523,112
Saul,154,190,221,295,443,537,517,349,283,262,54
Matteo,5,8,10,15,53,109,215,373,1090,1173,246
Steve,655,546,493,433,332,287,223,140,94,62,11
Salvador,292,327,338,448,413,418,369,242,207,184,34
Byron,431,481,485,415,288,249,285,248,191,146,23
Brennan,57,85,187,337,494,559,616,520,243,122,23
King,16,18,15,22,22,34,161,742,1302,827,79
Terrence,577,534,533,488,284,210,220,179,122,72,11
Zayden,0,0,0,0,0,25,210,804,1054,967,166
Holden,4,6,47,121,218,305,425,573,734,676,114
Jayson,318,272,221,199,293,416,456,421,321,252,38
Orlando,351,350,414,360,326,355,394,273,198,157,28
