# Hand-written list of NCAA football programs with their 2026 conference membership and region.
# School names and conference affiliations are public facts. Weights approximate each school's share of
# NFL roster spots from recent rosters; they are estimates, not an official count. Edit by hand.
name,division,conference,region,weight
Fort Hays State,D2,MIAA,Midwest,0.4
Nebraska-Kearney,D2,MIAA,Midwest,0.4
Valdosta State,D2,Gulf South,Southeast,1
West Florida,D2,Gulf South,Southeast,0.8
Delta State,D2,Gulf South,South,0.4
Bowie State,D2,CIAA,Northeast,0.6
Virginia Union,D2,CIAA,Southeast,0.5
Shepherd,D2,PSAC,Northeast,0.6
Slippery Rock,D2,PSAC,Northeast,0.6
Indiana (PA),D2,PSAC,Northeast,0.6
Kutztown,D2,PSAC,Northeast,0.5
Shippensburg,D2,PSAC,Northeast,0.4
Tuskegee,D2,SIAC,Southeast,0.5
Fort Valley State,D2,SIAC,Southeast,0.4
Albany State,D2,SIAC,Southeast,0.4
Miles,D2,SIAC,Southeast,0.3
Colorado Mines,D2,RMAC,West,0.4
CSU Pueblo,D2,RMAC,West,0.5
Chadron State,D2,RMAC,West,0.3
Minnesota State,D2,NSIC,Midwest,0.8
Winona State,D2,NSIC,Midwest,0.4
Augustana (SD),D2,NSIC,Midwest,0.3
Lenoir-Rhyne,D2,South Atlantic,Southeast,0.5
Newberry,D2,South Atlantic,Southeast,0.3
Harding,D2,Great American,South,0.5
Henderson State,D2,Great American,South,0.4
Ouachita Baptist,D2,Great American,South,0.4
Angelo State,D2,Lone Star,Southwest,0.5
Midwestern State,D2,Lone Star,Southwest,0.4
Kentucky State,D2,SIAC,Southeast,0.2
Mary Hardin-Baylor,D3,ASC,Southwest,0.5
Hardin-Simmons,D3,ASC,Southwest,0.2
Wisconsin-Whitewater,D3,WIAC,Midwest,0.5
Wisconsin-Oshkosh,D3,WIAC,Midwest,0.3
Wisconsin-La Crosse,D3,WIAC,Midwest,0.2
Mount Union,D3,OAC,Midwest,0.4
North Central (IL),D3,CCIW,Midwest,0.4
St. John's (MN),D3,MIAC,Midwest,0.2
Linfield,D3,Northwest,West,0.2
Johns Hopkins,D3,Centennial,Northeast,0.2
Muhlenberg,D3,Centennial,Northeast,0.2
Delaware Valley,D3,MAC (D3),Northeast,0.2
Wesleyan (CT),D3,NESCAC,Northeast,0.1
Trinity (CT),D3,NESCAC,Northeast,0.1
Williams,D3,NESCAC,Northeast,0.1
